log_budget,male_crew_count,male_cast_count,cast_count,crew_count,female_crew_count,people_in_dept_Editing,people_in_dept_Production,people_in_job_Producer,people_in_job_Casting,people_in_dept_Visual Effects,people_in_job_Editor,people_in_job_Art Direction,female_cast_count,Keywords_count,production_companies_count,count_of_tagline_words,people_in_job_Screenplay,have_collection,people_in_job_Production Design,people_in_job_Executive Producer,prodCountry_United States of America
16.454567887579532,13,10,24,72,0,2,9,1,1,4,1,1,8,4,3,11,0,1,1,3,1
17.50439001207821,4,10,20,9,4,1,4,3,0,0,1,0,10,4,1,13,1,1,0,1,1
15.009433026436708,11,13,51,64,4,6,18,4,2,3,1,1,7,12,3,10,1,0,1,4,1
13.997832114758229,0,2,7,3,0,0,1,1,0,0,0,0,1,7,0,0,0,0,0,0,0
15.89495209964411,0,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15.89495209964411,4,2,4,11,0,0,1,0,0,4,0,0,0,0,0,0,2,0,1,0,0
16.454567887579532,11,7,14,77,6,9,8,0,1,2,2,1,3,0,2,7,0,0,1,5,1
15.89495209964411,0,1,4,1,1,0,0,0,0,0,0,0,0,7,0,4,0,0,0,0,0
15.89495209964411,7,6,12,8,0,1,2,2,0,0,1,0,1,4,3,5,1,1,0,0,1
15.60727002719233,4,13,20,11,4,1,2,1,0,0,1,1,5,2,1,7,0,0,1,0,1
13.815510557964274,17,20,37,31,2,4,6,2,1,0,2,1,4,16,1,7,1,1,1,1,1
15.89495209964411,1,12,14,2,0,0,0,0,0,0,0,0,1,6,4,2,0,1,0,0,1
16.523560759066484,28,15,40,109,15,8,11,2,2,8,2,1,22,21,2,2,1,0,1,0,1
17.785802471516394,13,38,59,18,3,2,7,4,0,0,1,2,18,8,4,8,1,1,1,3,1
18.440483371248543,38,15,23,156,9,6,21,4,1,13,1,3,8,9,7,9,2,0,1,2,1
13.122363377404328,1,4,13,25,0,2,2,1,1,0,2,0,0,2,1,13,4,0,1,0,0
17.073607095985757,9,8,24,35,10,3,8,2,2,0,2,1,10,4,3,3,1,0,1,4,1
15.89495209964411,4,7,19,31,3,1,5,4,1,3,1,1,6,2,4,10,0,0,1,0,0
15.89495209964411,2,6,23,2,0,0,0,0,0,0,0,0,7,7,4,5,1,0,0,0,0
17.281246460764002,9,6,10,17,0,2,6,2,0,0,2,0,2,5,7,10,0,1,0,1,0
18.197537192638155,25,12,20,120,5,4,23,4,3,11,1,3,6,3,4,3,2,0,1,4,1
15.201804919084164,8,3,16,11,1,1,1,0,0,1,1,0,3,9,2,9,0,1,0,0,1
15.89495209964411,14,13,30,19,1,0,3,3,0,0,0,0,5,13,3,4,0,1,0,0,1
15.89495209964411,3,11,19,10,1,1,3,1,1,0,1,0,5,0,3,4,0,0,0,1,1
15.89495209964411,5,6,13,10,3,1,1,1,0,0,1,1,5,3,2,13,1,0,1,0,0
15.89495209964411,6,5,15,14,2,1,4,1,1,0,1,0,4,0,4,7,0,0,1,1,1
16.11809565095832,8,4,6,18,8,1,7,1,3,0,1,1,2,4,4,7,0,0,1,2,1
16.213405830762646,3,7,24,15,2,1,6,5,1,0,1,0,11,3,3,5,1,0,1,0,0
15.60727002719233,3,27,33,18,0,1,13,2,1,0,1,0,1,6,4,8,0,0,0,2,1
17.622173047734595,5,6,11,8,1,1,1,1,0,0,1,0,4,4,1,14,2,0,1,0,1
16.38045991542581,4,16,32,34,0,2,5,3,2,0,1,1,9,7,8,17,2,0,1,0,0
15.89495209964411,9,7,14,18,2,2,9,4,1,0,2,0,4,15,15,0,1,0,2,3,1
18.31532022829454,18,7,22,92,6,10,7,3,2,21,2,1,9,4,7,2,0,0,1,0,1
15.89495209964411,10,4,31,59,5,0,9,8,0,0,0,0,3,4,3,4,0,1,0,0,1
18.75715298057358,13,8,18,18,2,3,5,4,0,0,3,0,5,1,1,4,1,1,2,1,1
17.216707939626428,15,11,15,34,3,3,9,4,1,0,1,1,1,1,5,8,0,0,1,4,1
15.89495209964411,0,5,15,2,0,0,0,0,0,0,0,0,6,14,3,11,0,0,0,0,1
17.72753356339242,11,12,14,13,2,3,4,2,0,0,3,0,2,8,4,18,2,0,1,2,1
15.89495209964411,2,0,5,2,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
15.150511624696614,7,13,14,12,0,3,1,1,0,0,3,1,1,5,2,0,3,0,0,0,1
15.89495209964411,1,0,6,1,0,0,0,0,0,0,0,0,0,2,1,10,0,1,0,0,1
14.914122846632385,17,25,32,28,0,1,2,2,0,0,1,1,1,12,2,8,2,0,0,0,1
17.034386382832476,7,5,11,12,4,1,4,3,1,0,1,1,5,10,2,6,1,0,1,0,1
15.60727002719233,6,8,32,12,1,0,5,5,0,0,0,1,20,5,3,5,1,0,1,0,1
16.523560759066484,3,4,10,12,5,1,4,4,0,0,1,0,4,6,3,4,0,0,1,0,1
15.178239421061456,0,4,15,7,0,1,1,0,1,0,1,0,2,11,2,6,0,0,0,0,0
18.197537192638155,3,18,42,10,0,1,1,1,0,2,1,0,7,11,2,6,1,1,0,0,1
17.599700191882537,17,9,18,77,8,5,11,3,1,10,1,2,4,8,3,10,0,0,1,3,1
15.89495209964411,8,11,44,31,2,1,4,2,1,0,1,0,7,8,1,0,1,0,1,0,1
17.45309671769066,11,12,17,15,1,1,5,2,2,0,1,1,4,5,1,2,2,1,1,1,1
13.235692062711331,0,1,9,2,0,0,0,0,0,0,0,0,2,10,0,0,0,0,0,0,0
16.300417207752275,6,13,17,6,0,1,1,1,0,0,1,0,3,5,1,7,1,0,0,0,1
15.89495209964411,1,7,13,7,0,0,2,2,0,0,0,0,1,5,1,11,3,0,0,0,1
15.89495209964411,1,3,9,4,0,0,0,0,0,0,0,0,4,1,1,4,0,0,0,0,1
16.811242831518264,6,10,30,21,0,2,8,3,3,0,1,3,1,12,4,10,2,0,1,2,1
15.89495209964411,2,6,9,3,1,0,0,0,0,0,0,0,2,7,1,4,0,0,0,0,1
15.89495209964411,0,2,9,3,2,0,0,0,0,0,0,0,6,3,1,0,1,0,0,0,0
18.643824295266576,18,10,14,105,7,4,13,1,1,6,2,1,3,9,2,5,0,1,1,2,1
15.89495209964411,0,1,5,1,0,0,0,0,0,0,0,0,2,9,1,0,0,0,0,0,1
16.454567887579532,1,5,7,1,0,0,0,0,0,0,0,0,2,20,1,7,0,0,0,0,1
18.82614585206053,19,29,79,126,3,6,23,2,6,7,1,5,7,10,3,9,3,1,1,1,1
15.201804919084164,8,7,15,9,0,0,1,1,0,0,0,0,2,2,1,15,1,0,0,0,1
15.89495209964411,16,8,10,48,2,3,3,2,1,1,1,1,1,16,2,16,1,0,1,0,1
15.424948470398375,6,7,16,7,1,1,2,2,0,0,1,0,6,10,3,6,1,1,0,0,1
16.300417207752275,14,6,14,69,5,4,9,2,1,1,1,1,4,11,2,15,0,0,1,4,1
14.22097566607244,7,6,9,12,0,1,3,3,0,0,1,0,1,6,1,7,3,1,0,0,1
16.300417207752275,7,10,16,12,3,1,2,0,1,0,1,0,3,2,2,9,2,0,1,1,1
15.89495209964411,1,1,7,5,0,0,2,2,0,0,0,0,1,5,3,0,0,0,0,0,0
14.508657738524219,11,25,56,34,3,2,8,4,1,0,1,2,10,17,1,0,2,0,0,0,1
18.258161814454592,16,14,56,57,6,5,10,1,2,3,3,1,9,9,1,9,1,1,1,3,1
17.182806387950748,11,13,22,20,4,1,13,3,1,0,1,0,7,18,7,5,0,0,0,9,1
15.89495209964411,8,1,13,11,2,1,3,2,1,0,1,0,4,13,8,9,1,0,1,0,1
16.213405830762646,5,4,15,7,2,1,2,1,0,0,1,0,8,7,2,10,1,0,0,1,1
15.89495209964411,1,1,6,5,0,0,3,1,0,0,0,0,0,5,0,0,0,0,0,2,0
13.005829561148378,3,9,16,12,1,1,3,1,0,0,1,1,3,15,1,15,0,0,0,1,1
16.64872390202049,5,8,16,10,2,0,6,2,0,0,0,0,7,5,1,10,1,1,0,4,1
